batsmen,bowler,balls,delivery,0s,1s,2s,3s,4s,5s,6s
A Ashish Reddy,Harbhajan Singh,8,5,1,1,1,1,1,0,1
A Ashish Reddy,Harbhajan Singh,8,6,1,1,1,1,1,0,1
A Ashish Reddy,Imran Tahir,2,1,1,1,1,1,1,0,1
A Ashish Reddy,Imran Tahir,2,3,1,1,1,1,1,0,1
A Ashish Reddy,J Botha,2,5,1,1,1,1,1,0,1
A Ashish Reddy,J Botha,2,6,1,1,1,1,1,0,1
A Ashish Reddy,JEC Franklin,3,4,1,1,1,1,1,0,1
A Ashish Reddy,JEC Franklin,3,5,1,1,1,1,1,0,1
A Ashish Reddy,JEC Franklin,3,6,1,1,1,1,1,0,1
A Ashish Reddy,JP Duminy,1,5,1,1,1,1,1,0,1
A Ashish Reddy,JP Faulkner,2,5,1,1,1,1,1,0,1
A Ashish Reddy,JP Faulkner,2,6,1,1,1,1,1,0,1
A Ashish Reddy,KK Cooper,5,1,1,1,1,1,1,0,1
A Ashish Reddy,KK Cooper,5,2,1,1,1,1,1,0,1
A Ashish Reddy,KK Cooper,5,3,1,1,1,1,1,0,1
A Ashish Reddy,KK Cooper,5,4,1,1,1,1,1,0,1
A Ashish Reddy,KK Cooper,5,6,1,1,1,1,1,0,1
A Ashish Reddy,Kieron Pollard,3,1,1,1,1,1,1,0,1
A Ashish Reddy,Kieron Pollard,3,3,1,1,1,1,1,0,1
A Ashish Reddy,Kieron Pollard,3,4,1,1,1,1,1,0,1
A Ashish Reddy,M Kartik,8,1,1,1,1,1,1,0,1
A Ashish Reddy,M Kartik,8,2,1,1,1,1,1,0,1
A Ashish Reddy,M Kartik,8,3,1,1,1,1,1,0,1
A Ashish Reddy,M Kartik,8,4,1,1,1,1,1,0,1
A Ashish Reddy,M Kartik,8,5,1,1,1,1,1,0,1
A Ashish Reddy,M Kartik,8,6,1,1,1,1,1,0,1
A Ashish Reddy,M Morkel,5,1,1,1,1,1,1,0,1
A Ashish Reddy,M Morkel,5,3,1,1,1,1,1,0,1
A Ashish Reddy,M Morkel,5,5,1,1,1,1,1,0,1
A Ashish Reddy,M Morkel,5,6,1,1,1,1,1,0,1
A Ashish Reddy,MM Patel,2,1,1,1,1,1,1,0,1
A Ashish Reddy,MM Patel,2,2,1,1,1,1,1,0,1
A Ashish Reddy,MR Marsh,3,1,1,1,1,1,1,0,1
A Ashish Reddy,MR Marsh,3,5,1,1,1,1,1,0,1
A Ashish Reddy,MR Marsh,3,7,1,1,1,1,1,0,1
A Ashish Reddy,MS Gony,4,2,1,1,1,1,1,0,1
A Ashish Reddy,MS Gony,4,4,1,1,1,1,1,0,1
A Ashish Reddy,MS Gony,4,5,1,1,1,1,1,0,1
A Ashish Reddy,MS Gony,4,6,1,1,1,1,1,0,1
A Ashish Reddy,Mitchell Johnson,3,3,1,1,1,1,1,0,1
A Ashish Reddy,Mitchell Johnson,3,4,1,1,1,1,1,0,1
A Ashish Reddy,Mitchell Johnson,3,5,1,1,1,1,1,0,1
A Ashish Reddy,Mohit Sharma,2,1,1,1,1,1,1,0,1
A Ashish Reddy,Mohit Sharma,2,2,1,1,1,1,1,0,1
A Ashish Reddy,NM Coulter-Nile,1,2,1,1,1,1,1,0,1
A Ashish Reddy,P Awana,2,1,1,1,1,1,1,0,1
A Ashish Reddy,P Awana,2,2,1,1,1,1,1,0,1
A Ashish Reddy,P Kumar,4,1,1,1,1,1,1,0,1
A Ashish Reddy,P Kumar,4,3,1,1,1,1,1,0,1
A Ashish Reddy,P Kumar,4,4,1,1,1,1,1,0,1
A Ashish Reddy,P Kumar,4,5,1,1,1,1,1,0,1
A Ashish Reddy,PV Tambe,4,1,1,1,1,1,1,0,1
A Ashish Reddy,PV Tambe,4,4,1,1,1,1,1,0,1
A Ashish Reddy,PV Tambe,4,5,1,1,1,1,1,0,1
A Ashish Reddy,PV Tambe,4,6,1,1,1,1,1,0,1
A Ashish Reddy,Parvez Rasool,9,1,1,1,1,1,1,0,1
A Ashish Reddy,Parvez Rasool,9,2,1,2,1,1,1,0,1
A Ashish Reddy,Parvez Rasool,9,4,1,2,1,1,2,0,1
A Ashish Reddy,Parvez Rasool,9,5,1,2,1,1,2,0,1
A Ashish Reddy,Parvez Rasool,9,6,1,2,1,1,2,0,1
A Ashish Reddy,Piyush Chawla,2,4,1,1,1,1,2,0,1
A Ashish Reddy,Piyush Chawla,2,6,1,1,1,1,2,0,1
A Ashish Reddy,R Vinay Kumar,11,1,1,1,1,1,2,0,1
A Ashish Reddy,R Vinay Kumar,11,2,1,1,1,1,2,0,1
A Ashish Reddy,R Vinay Kumar,11,3,1,2,1,1,2,0,1
A Ashish Reddy,R Vinay Kumar,11,4,1,2,1,1,2,0,1
A Ashish Reddy,R Vinay Kumar,11,5,1,2,1,1,2,0,1
A Ashish Reddy,R Vinay Kumar,11,6,1,1,1,1,2,0,1
A Ashish Reddy,R Vinay Kumar,11,7,1,1,1,1,2,0,1
A Ashish Reddy,RJ Peterson,5,1,1,1,1,1,2,0,1
A Ashish Reddy,RJ Peterson,5,2,1,1,1,1,2,0,1
A Ashish Reddy,RJ Peterson,5,3,1,1,1,1,2,0,1
A Ashish Reddy,RJ Peterson,5,4,1,1,1,1,2,0,1
A Ashish Reddy,RJ Peterson,5,6,1,1,1,1,2,0,1
A Ashish Reddy,RP Singh,2,1,1,1,1,1,2,0,1
A Ashish Reddy,RP Singh,2,7,1,1,1,1,2,0,1
A Ashish Reddy,SL Malinga,4,2,1,1,1,1,2,0,1
A Ashish Reddy,SL Malinga,4,4,1,1,1,1,2,0,1
A Ashish Reddy,SL Malinga,4,5,1,1,1,1,2,0,1
A Ashish Reddy,SL Malinga,4,6,1,1,1,1,2,0,1
A Ashish Reddy,SMSM Senanayake,4,2,1,1,1,1,2,0,1
A Ashish Reddy,SMSM Senanayake,4,3,1,1,1,1,2,0,1
A Ashish Reddy,SMSM Senanayake,4,5,1,1,1,1,2,0,1
A Ashish Reddy,SMSM Senanayake,4,6,1,1,1,1,2,0,1
A Ashish Reddy,SW Tait,4,1,1,1,1,1,2,0,1
A Ashish Reddy,SW Tait,4,2,1,1,1,1,2,0,1
A Ashish Reddy,SW Tait,4,3,1,1,1,1,1,0,1
A Ashish Reddy,SW Tait,4,4,1,1,1,1,1,0,1
A Ashish Reddy,Sandeep Sharma,3,4,1,1,1,1,1,0,1
A Ashish Reddy,Sandeep Sharma,3,5,1,1,1,1,1,0,1
A Ashish Reddy,Sandeep Sharma,3,6,1,1,1,1,1,0,1
A Ashish Reddy,Shane Watson,5,1,1,1,1,1,1,0,1
A Ashish Reddy,Shane Watson,5,3,1,1,1,1,1,0,1
A Ashish Reddy,Shane Watson,5,4,1,1,1,1,1,0,1
A Ashish Reddy,Shane Watson,5,6,1,1,1,1,1,0,1
A Ashish Reddy,Stuart Binny,4,1,1,1,1,1,1,0,1
A Ashish Reddy,Stuart Binny,4,2,1,1,1,1,1,0,1
A Ashish Reddy,Stuart Binny,4,5,1,1,1,1,1,0,1
A Ashish Reddy,Sunil Narine,1,5,1,1,1,1,1,0,1
A Ashish Reddy,Tim Southee,4,1,1,1,1,1,1,0,1
A Ashish Reddy,Tim Southee,4,2,1,1,1,1,1,0,1
A Ashish Reddy,Tim Southee,4,4,1,1,1,1,1,0,1
A Ashish Reddy,Tim Southee,4,6,1,1,1,1,1,0,1
A Ashish Reddy,Umesh Yadav,10,1,1,1,1,1,1,0,1
A Ashish Reddy,Umesh Yadav,10,2,1,1,1,1,1,0,1
A Ashish Reddy,Umesh Yadav,10,3,1,1,1,1,1,0,1
A Ashish Reddy,Umesh Yadav,10,4,1,1,1,1,1,0,1
A Ashish Reddy,Umesh Yadav,10,5,1,1,1,1,1,0,1
A Ashish Reddy,Umesh Yadav,10,6,1,1,1,1,1,0,1
A Ashish Reddy,Umesh Yadav,10,7,1,1,1,1,1,0,1
A Ashish Reddy,Yuzvendra Chahal,7,1,1,1,1,1,1,0,1
A Ashish Reddy,Yuzvendra Chahal,7,2,1,1,1,1,1,0,1
A Ashish Reddy,Yuzvendra Chahal,7,3,1,1,1,1,1,0,1
A Ashish Reddy,Yuzvendra Chahal,7,4,1,1,1,1,1,0,1
A Ashish Reddy,Yuzvendra Chahal,7,5,1,1,1,1,1,0,1
A Ashish Reddy,Yuzvendra Chahal,7,6,1,1,1,1,1,0,1
A Chandila,R Rampaul,2,1,1,0,0,0,0,0,0
A Chandila,R Rampaul,2,2,1,1,0,0,0,0,0
A Chandila,R Vinay Kumar,2,1,1,1,0,0,0,0,0
A Chandila,R Vinay Kumar,2,2,1,1,0,0,0,0,0
A Chandila,RP Singh,2,5,1,1,0,0,0,0,0
A Chandila,RP Singh,2,6,1,1,0,0,0,0,0
A Chandila,V Pratap Singh,1,6,1,1,0,0,0,0,0
A Chopra,DP Vijaykumar,5,1,1,0,0,0,0,0,0
A Chopra,DP Vijaykumar,5,2,1,0,0,0,0,0,0
A Chopra,DP Vijaykumar,5,3,1,0,0,0,0,0,0
A Chopra,DP Vijaykumar,5,4,1,1,0,0,0,0,0
A Chopra,DP Vijaykumar,5,6,1,1,0,0,0,0,0
A Chopra,DW Steyn,4,1,2,1,0,0,0,0,0
A Chopra,DW Steyn,4,2,2,1,0,0,0,0,0
A Chopra,DW Steyn,4,6,1,1,0,0,0,0,0
A Chopra,GD McGrath,4,2,1,1,0,0,0,0,0
A Chopra,GD McGrath,4,3,1,1,0,0,0,0,0
A Chopra,GD McGrath,4,4,1,1,0,0,0,0,0
A Chopra,Harmeet Singh,8,1,1,1,0,0,0,0,0
A Chopra,Harmeet Singh,8,2,1,1,0,0,0,0,0
A Chopra,Harmeet Singh,8,3,2,1,0,0,0,0,0
A Chopra,Harmeet Singh,8,4,1,1,0,0,0,0,0
A Chopra,Harmeet Singh,8,5,1,1,0,0,0,0,0
A Chopra,Harmeet Singh,8,6,1,1,0,0,0,0,0
A Chopra,Harmeet Singh,8,7,1,1,0,0,1,0,0
A Chopra,JR Hopes,2,1,1,1,0,0,1,0,0
A Chopra,JR Hopes,2,3,1,1,0,0,1,0,0
A Chopra,PP Ojha,6,2,1,1,0,0,1,0,0
A Chopra,PP Ojha,6,3,1,1,0,0,1,0,0
A Chopra,PP Ojha,6,4,1,2,0,0,1,0,0
A Chopra,Piyush Chawla,1,6,1,1,0,0,1,0,0
A Chopra,Pradeep Sangwan,10,1,1,1,0,0,1,0,0
A Chopra,Pradeep Sangwan,10,2,1,1,0,0,1,0,0
A Chopra,Pradeep Sangwan,10,3,1,1,0,0,1,0,0
A Chopra,Pradeep Sangwan,10,4,1,1,0,0,1,0,0
A Chopra,Pradeep Sangwan,10,5,1,1,0,0,1,0,0
A Chopra,Pradeep Sangwan,10,6,1,1,0,0,1,0,0
A Chopra,Pradeep Sangwan,10,7,1,1,0,0,1,0,0
A Chopra,Pradeep Sangwan,10,8,1,1,0,0,1,0,0
A Chopra,RP Singh,6,1,1,1,0,0,1,0,0
A Chopra,RP Singh,6,5,1,1,0,0,1,0,0
A Chopra,RP Singh,6,6,1,1,1,0,1,0,0
A Chopra,RP Singh,6,7,1,1,1,0,1,0,0
A Chopra,SB Bangar,4,2,1,1,1,0,1,0,0
A Chopra,SB Bangar,4,3,1,1,1,0,1,0,0
A Chopra,SB Bangar,4,4,1,1,1,0,1,0,0
A Chopra,SB Bangar,4,5,1,1,1,0,1,0,0
A Chopra,SB Styris,7,1,1,1,1,0,1,0,0
A Chopra,SB Styris,7,2,1,1,1,0,1,0,0
A Chopra,SB Styris,7,3,1,1,1,0,1,0,0
A Chopra,SB Styris,7,4,1,1,1,0,1,0,0
A Chopra,SB Styris,7,5,1,1,1,0,1,0,0
A Chopra,SB Styris,7,6,1,1,1,0,1,0,0
A Chopra,SM Pollock,4,1,1,1,1,0,1,0,0
A Chopra,SM Pollock,4,2,1,1,1,0,1,0,0
A Chopra,SM Pollock,4,5,1,1,1,0,1,0,0
A Chopra,SM Pollock,4,6,1,1,1,0,1,0,0
A Chopra,VY Mahesh,4,1,1,1,1,0,1,0,0
A Chopra,VY Mahesh,4,4,1,1,1,0,1,0,0
A Chopra,VY Mahesh,4,5,1,1,1,0,1,0,0
A Chopra,VY Mahesh,4,6,1,1,1,0,1,0,0
A Chopra,WPUJC Vaas,2,2,1,1,1,0,1,0,0
A Chopra,WPUJC Vaas,2,3,1,1,1,0,1,0,0
A Chopra,Y Venugopal Rao,7,1,1,1,1,0,1,0,0
A Chopra,Y Venugopal Rao,7,3,1,1,1,0,1,0,0
A Chopra,Y Venugopal Rao,7,4,1,1,1,0,1,0,0
A Chopra,Y Venugopal Rao,7,5,1,1,1,0,1,0,0
A Chopra,Y Venugopal Rao,7,6,1,1,1,0,1,0,0
A Chopra,Y Venugopal Rao,7,7,1,1,1,0,1,0,0
A Chopra,Z Khan,1,2,1,1,1,0,1,0,0
A Choudhary,Andrew Tye,3,1,1,0,0,0,0,0,0
A Choudhary,Andrew Tye,3,2,1,1,0,0,0,0,0
A Choudhary,Andrew Tye,3,6,1,1,0,0,0,0,0
A Choudhary,Axar Patel,2,4,1,1,0,0,0,0,0
A Choudhary,Axar Patel,2,6,1,1,0,0,0,0,0
A Choudhary,Basil Thampi,4,2,1,1,0,0,0,0,0
A Choudhary,Basil Thampi,4,4,1,1,0,0,1,0,0
A Choudhary,Basil Thampi,4,5,1,1,1,0,1,0,0
A Choudhary,Basil Thampi,4,6,1,1,1,0,1,0,0
A Choudhary,Ben Cutting,2,3,1,1,1,0,1,0,1
A Choudhary,Ben Cutting,2,4,1,1,1,0,1,0,1
A Choudhary,JP Faulkner,5,1,1,2,1,0,1,0,1
A Choudhary,JP Faulkner,5,3,1,2,1,0,1,0,1
A Choudhary,JP Faulkner,5,5,1,1,1,0,1,0,1
A Choudhary,Mohit Sharma,4,1,1,1,1,0,1,0,1
A Choudhary,Mohit Sharma,4,3,1,1,1,0,1,0,1
A Choudhary,Mohit Sharma,4,5,1,1,1,0,1,0,1
A Choudhary,Mohit Sharma,4,6,1,1,1,0,1,0,1
A Flintoff,A Nehra,4,1,0,0,1,0,0,0,0
A Flintoff,A Nehra,4,2,1,0,1,0,0,0,0
A Flintoff,A Nehra,4,3,1,1,1,0,0,0,0
A Flintoff,A Nehra,4,6,1,1,1,0,0,0,0
A Flintoff,DL Vettori,6,1,1,1,1,0,0,0,0
A Flintoff,DL Vettori,6,2,1,1,1,0,0,0,0
A Flintoff,DL Vettori,6,4,1,1,1,0,0,0,0
A Flintoff,DL Vettori,6,5,1,1,1,0,0,0,0
A Flintoff,DL Vettori,6,6,1,1,1,0,0,0,0
A Flintoff,DP Nannes,1,6,1,1,1,0,0,0,0
A Flintoff,DW Steyn,8,1,1,1,1,0,0,0,1
A Flintoff,DW Steyn,8,2,1,1,1,0,1,0,1
A Flintoff,DW Steyn,8,3,1,1,1,0,1,0,1
A Flintoff,DW Steyn,8,5,1,1,1,0,1,0,1
A Flintoff,DW Steyn,8,6,1,1,1,0,1,0,1
A Flintoff,Dwayne Bravo,7,1,1,1,1,0,1,0,1
A Flintoff,Dwayne Bravo,7,2,1,1,1,0,1,0,1
A Flintoff,Dwayne Bravo,7,3,1,1,1,0,1,0,1
A Flintoff,Dwayne Bravo,7,4,1,1,1,0,1,0,1
A Flintoff,Dwayne Bravo,7,5,1,1,1,0,1,0,1
A Flintoff,Dwayne Bravo,7,6,1,1,1,0,1,0,1
A Flintoff,Dwayne Bravo,7,7,1,1,1,1,1,0,1
A Flintoff,Harbhajan Singh,5,1,1,1,1,1,1,0,1
A Flintoff,Harbhajan Singh,5,2,1,1,1,1,1,0,1
A Flintoff,Harbhajan Singh,5,3,1,1,1,1,1,0,1
A Flintoff,Harbhajan Singh,5,5,1,1,1,1,1,0,1
A Flintoff,KP Pietersen,4,1,1,1,1,1,1,0,1
A Flintoff,KP Pietersen,4,2,1,1,1,1,1,0,1
A Flintoff,KP Pietersen,4,4,1,1,1,1,1,0,1
A Flintoff,KP Pietersen,4,5,1,1,1,1,1,0,1
A Flintoff,Manoj Tiwary,3,1,1,1,1,1,1,0,1
A Flintoff,Manoj Tiwary,3,3,1,1,1,1,1,0,1
A Flintoff,Manoj Tiwary,3,6,1,1,1,1,1,0,1
A Flintoff,P Kumar,2,1,1,1,1,1,1,0,1
A Flintoff,P Kumar,2,5,1,1,1,1,1,0,1
A Flintoff,Pradeep Sangwan,4,3,1,1,1,1,1,0,1
A Flintoff,Pradeep Sangwan,4,5,1,1,1,1,1,0,1
A Flintoff,Pradeep Sangwan,4,6,1,1,1,1,1,0,1
A Flintoff,Pradeep Sangwan,4,7,1,1,1,1,1,0,1
A Flintoff,RR Raje,1,5,1,1,1,1,1,0,1
A Flintoff,SL Malinga,4,1,1,1,1,1,1,0,1
A Flintoff,SL Malinga,4,2,1,1,1,1,1,0,1
A Flintoff,SL Malinga,4,6,1,1,1,1,1,0,1
A Flintoff,SL Malinga,4,7,1,1,1,1,1,0,1
A Flintoff,ST Jayasuriya,4,1,1,1,1,1,1,0,1
A Flintoff,ST Jayasuriya,4,3,1,1,1,1,1,0,1
A Flintoff,ST Jayasuriya,4,5,1,1,1,1,1,0,1
A Flintoff,ST Jayasuriya,4,6,1,1,1,1,1,0,1
A Flintoff,Z Khan,4,1,1,1,1,1,1,0,1
A Flintoff,Z Khan,4,2,1,1,1,1,1,0,1
A Flintoff,Z Khan,4,3,1,1,1,1,1,0,1
A Flintoff,Z Khan,4,4,1,1,1,1,1,0,1
A Kumble,A Flintoff,2,4,1,0,0,0,0,0,0
A Kumble,A Flintoff,2,5,1,1,0,0,0,0,0
A Kumble,AB McDonald,1,6,1,1,0,0,0,0,0
A Kumble,Amit Mishra,1,5,1,1,0,0,0,0,0
A Kumble,CRD Fernando,3,4,1,1,0,0,0,0,0
A Kumble,CRD Fernando,3,5,1,1,0,0,0,0,0
A Kumble,CRD Fernando,3,6,1,1,0,0,0,0,0
A Kumble,Dwayne Bravo,3,2,1,1,0,0,0,0,0
A Kumble,Dwayne Bravo,3,5,1,1,0,0,1,0,0
A Kumble,Dwayne Bravo,3,6,1,1,0,0,1,0,0
A Kumble,Harbhajan Singh,2,3,1,1,0,0,1,0,0
A Kumble,Harbhajan Singh,2,6,1,1,0,0,1,0,0
A Kumble,Harmeet Singh,2,3,1,1,0,0,1,0,0
A Kumble,Harmeet Singh,2,4,1,1,0,0,1,0,0
A Kumble,IK Pathan,6,3,1,1,0,0,1,0,0
A Kumble,IK Pathan,6,4,1,1,0,0,1,0,0
A Kumble,IK Pathan,6,5,1,2,0,0,1,0,0
A Kumble,IK Pathan,6,7,1,2,0,0,1,0,0
A Kumble,JA Morkel,1,6,1,2,1,0,1,0,0
A Kumble,M Muralitharan,3,4,1,2,1,0,1,0,0
A Kumble,M Muralitharan,3,5,1,2,1,0,1,0,0
A Kumble,M Muralitharan,3,6,1,2,1,0,1,0,0
A Kumble,Piyush Chawla,4,3,1,2,1,0,1,0,0
A Kumble,Piyush Chawla,4,4,1,2,1,0,1,0,0
A Kumble,Piyush Chawla,4,5,1,2,1,0,1,0,0
A Kumble,Piyush Chawla,4,6,1,1,1,0,1,0,0
A Kumble,R McLaren,3,1,1,1,1,0,1,0,0
A Kumble,R McLaren,3,2,1,1,1,0,1,0,0
A Kumble,R McLaren,3,5,1,1,1,0,1,0,0
A Kumble,RJ Harris,2,1,1,1,1,0,1,0,0
A Kumble,RJ Harris,2,2,1,1,1,0,1,0,0
A Kumble,RP Singh,2,1,1,1,1,0,1,0,0
A Kumble,RP Singh,2,6,1,1,1,0,1,0,0
A Kumble,Ravindra Jadeja,3,1,1,1,1,0,1,0,0
A Kumble,Ravindra Jadeja,3,2,1,1,1,0,1,0,0
A Kumble,Ravindra Jadeja,3,4,1,1,1,0,1,0,0
A Kumble,SK Warne,3,3,1,1,1,0,1,0,0
A Kumble,SK Warne,3,4,1,1,1,0,1,0,0
A Kumble,SK Warne,3,6,1,1,1,0,1,0,0
A Kumble,SL Malinga,1,5,1,1,1,0,1,0,0
A Kumble,Sohail Tanvir,2,1,1,1,1,0,1,0,0
A Kumble,Sohail Tanvir,2,4,1,1,1,0,1,0,0
A Kumble,VRV Singh,3,1,1,1,1,0,1,0,0
A Kumble,VRV Singh,3,4,1,1,1,0,1,0,0
A Kumble,VRV Singh,3,5,1,1,1,0,1,0,0
A Kumble,YA Abdulla,2,1,1,1,1,0,1,0,0
A Kumble,YA Abdulla,2,2,1,1,1,0,1,0,0
A Mithun,Amit Mishra,1,3,1,0,0,0,0,0,0
A Mithun,DL Vettori,3,2,1,0,0,0,0,0,0
A Mithun,DL Vettori,3,3,1,0,0,0,1,0,0
A Mithun,DL Vettori,3,4,1,1,0,0,1,0,0
A Mithun,Dwayne Bravo,2,1,1,1,0,0,1,0,0
A Mithun,Dwayne Bravo,2,6,1,1,0,0,1,0,0
A Mithun,M Morkel,2,7,1,1,0,0,1,0,0
A Mithun,M Morkel,2,8,1,1,0,0,1,0,0
A Mithun,PC Valthaty,3,1,1,1,0,0,1,0,0
A Mithun,PC Valthaty,3,2,1,1,0,0,1,0,0
A Mithun,PC Valthaty,3,6,1,1,1,0,1,0,0
A Mithun,Piyush Chawla,1,6,1,1,1,0,1,0,0
A Mithun,RJ Harris,6,1,1,1,1,0,1,0,1
A Mithun,RJ Harris,6,2,1,1,1,0,1,0,1
A Mithun,RJ Harris,6,3,1,1,1,0,1,0,1
A Mithun,RJ Harris,6,4,1,1,1,0,1,0,1
A Mithun,RJ Harris,6,6,1,1,1,0,1,0,1
A Mithun,Ravichandran Ashwin,2,3,1,1,1,0,1,0,1
A Mithun,Ravichandran Ashwin,2,6,1,1,1,0,1,0,1
A Mithun,Sunil Narine,2,3,1,1,1,0,1,0,1
A Mithun,Sunil Narine,2,4,1,1,1,0,1,0,1
A Mithun,Suresh Raina,4,1,1,1,1,0,1,0,1
A Mithun,Suresh Raina,4,2,1,1,1,0,1,0,1
A Mithun,Suresh Raina,4,3,1,1,1,0,1,0,1
A Mithun,Suresh Raina,4,4,1,1,1,0,1,0,1
A Mukund,A Chandila,4,1,0,2,0,0,0,0,0
A Mukund,A Chandila,4,4,0,2,1,0,0,0,0
A Mukund,A Chandila,4,5,0,1,1,0,0,0,0
A Mukund,JP Faulkner,7,1,0,2,1,0,0,0,0
A Mukund,JP Faulkner,7,4,0,1,1,0,0,0,0
A Mukund,JP Faulkner,7,6,2,1,1,0,0,0,0
A Mukund,JP Faulkner,7,7,2,1,1,0,0,0,0
A Mukund,S Sreesanth,1,6,2,1,1,0,0,0,0
A Mukund,SK Trivedi,3,3,2,1,1,0,0,0,0
A Mukund,SK Trivedi,3,5,1,1,1,0,0,0,0
A Mukund,SK Trivedi,3,6,1,1,1,0,0,0,0
A Mukund,Shane Watson,7,1,1,1,1,0,1,0,0
A Mukund,Shane Watson,7,2,1,1,1,0,1,0,0
A Mukund,Shane Watson,7,3,1,1,1,0,1,0,0
A Mukund,Shane Watson,7,4,1,2,1,0,1,0,0
A Mukund,Shane Watson,7,6,1,1,1,0,1,0,0
A Mukund,Sohail Tanvir,1,7,1,1,1,0,1,0,0
A Nehra,AD Mascarenhas,3,3,1,0,0,0,0,0,0
A Nehra,AD Mascarenhas,3,4,1,1,0,0,0,0,0
A Nehra,AD Mascarenhas,3,6,1,1,0,0,0,0,0
A Nehra,Andre Russell,3,2,1,1,0,0,0,0,0
A Nehra,Andre Russell,3,4,1,1,0,0,0,0,0
A Nehra,Andre Russell,3,6,1,1,0,0,0,0,0
A Nehra,Dwayne Bravo,1,5,1,1,0,0,0,0,0
A Nehra,GB Hogg,1,6,1,1,0,0,0,0,0
A Nehra,Harmeet Singh,6,2,1,1,0,0,1,0,0
A Nehra,Harmeet Singh,6,3,1,1,0,0,1,0,0
A Nehra,Harmeet Singh,6,4,1,1,0,0,1,0,0
A Nehra,Harmeet Singh,6,6,1,1,0,0,1,0,0
A Nehra,IK Pathan,9,1,1,1,0,0,1,0,0
A Nehra,IK Pathan,9,2,1,1,0,0,1,0,0
A Nehra,IK Pathan,9,3,1,1,0,0,1,0,0
A Nehra,IK Pathan,9,4,2,1,0,0,1,0,0
A Nehra,IK Pathan,9,5,2,1,0,0,1,0,0
A Nehra,IK Pathan,9,6,1,1,0,0,1,0,0
A Nehra,J Theron,2,4,1,1,0,0,1,0,0
A Nehra,J Theron,2,6,1,1,0,0,1,0,0
A Nehra,Joginder Sharma,2,4,1,1,0,0,1,0,0
A Nehra,Joginder Sharma,2,5,1,1,0,0,1,0,0
A Nehra,Kieron Pollard,1,1,1,1,0,0,1,0,0
A Nehra,MA Starc,2,5,1,1,0,0,1,0,0
A Nehra,MA Starc,2,7,1,1,0,0,1,0,0
A Nehra,MR Marsh,4,3,1,1,0,0,1,0,0
A Nehra,MR Marsh,4,5,1,1,0,0,1,0,0
